polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1650,1650,113.83748600000001,26.377312,857.3,Pestilence,Heavy,No description
CnQingE,1650,1650,112.405569,39.999114,1390.6,Pestilence,Uncertain,No description
CnQingE,1651,1651,112.99536100000002,28.170764000000002,77.6,Pestilence,Heavy,No description
CnQingE,1651,1651,116.77862900000001,26.817175,361.6,Pestilence,Heavy,No description
CnQingE,1651,1651,112.765345,39.994142,1394.0,Pestilence,Uncertain,No description
CnQingE,1651,1651,112.313148,39.468034,1350.7,Pestilence,Uncertain,No description
CnQingE,1651,1651,119.96215500000001,31.776182000000002,7.4,Pestilence,Uncertain,No description
CnQingE,1651,1651,121.521584,29.782890000000002,4.6,Pestilence,Uncertain,No description
CnQingE,1652,1652,116.484072,38.905601000000004,4.1,Pestilence,Heavy,No description
CnQingE,1652,1652,116.484072,38.905601000000004,4.1,Pestilence,Heavy,No description
CnQingE,1652,1652,118.05543600000001,27.4046,242.9,Pestilence,Heavy,No description
CnQingE,1652,1652,114.884114,33.705385,45.9,Pestilence,Heavy,No description
CnQingE,1652,1652,111.23938799999999,25.193548999999997,277.6,Pestilence,Heavy,No description
CnQingE,1652,1652,110.730915,26.784847999999997,475.0,Pestilence,Heavy,No description
CnQingE,1652,1652,119.78551999999999,31.358953000000003,2.9,Pestilence,Uncertain,No description
CnQingE,1652,1652,121.006976,32.078142,3.8,Pestilence,Uncertain,No description
CnQingE,1652,1652,120.568183,32.264155,6.5,Pestilence,Uncertain,No description
CnQingE,1652,1652,120.553937,32.784224,2.0,Pestilence,Uncertain,No description
CnQingE,1652,1652,117.26628799999999,31.834359000000003,31.4,Pestilence,Uncertain,No description
CnQingE,1652,1652,109.402001,19.565089999999998,89.5,Pestilence,Uncertain,No description
CnQingE,1653,1653,115.61236299999999,30.011231,47.1,Miasm,Uncertain,No description
CnQingE,1653,1653,109.966908,33.423271,1096.1,Pestilence,Heavy,No description
CnQingE,1653,1653,119.445274,32.406239,9.0,Pestilence,Heavy,No description
CnQingE,1653,1653,118.473506,27.041753000000003,144.5,Pestilence,Heavy,No description
CnQingE,1653,1653,118.473506,27.041753000000003,144.5,Pestilence,Heavy,No description
CnQingE,1653,1653,118.51096899999999,27.941544,237.7,Pestilence,Heavy,No description
CnQingE,1653,1653,119.49436899999999,27.426001,944.4,Pestilence,Heavy,No description
CnQingE,1653,1653,110.90878400000001,26.544096000000003,428.4,Pestilence,Heavy,No description
CnQingE,1653,1653,111.317824,23.486528,97.8,Pestilence,Heavy,No description
CnQingE,1653,1654,114.69678400000001,39.873253000000005,944.7,Pestilence,Heavy- Multiple Times,No description
CnQingE,1653,1654,114.712979,39.360039,857.1,Pestilence,Heavy- Multiple Times,No description
CnQingE,1653,1654,114.146472,39.764821999999995,1305.7,Pestilence,No description,No description
CnQingE,1653,1653,112.405569,39.999114,1390.6,Pestilence,Uncertain,No description
CnQingE,1653,1653,120.553937,32.784224,2.0,Pestilence,Uncertain,No description
CnQingE,1653,1653,117.999016,27.745963,219.9,Pestilence,Uncertain,No description
CnQingE,1653,1653,119.98119299999999,26.8636,118.6,Pestilence,Uncertain,No description
